Section,Sample,Height,Age,e205Tl,err,firstdiff,age_years,age_rounded,time
Ubara,UB-17,0.918,251.9438855,-6.51,0.16,1.4,251943885.5,251944000,1031000
Meishan,Meishan,107.205,251.9416247,-7.8,0.6,1.51,251941624.7,251942000,1033000
Taskent,TCX 29,29,251.940,-5.23,0.3,1.52,251940120.1,251940000,1035000
BuchananLake,BL-460,-4,251.938,-2.955593268,0.003196973,1.14,251938000,251938000,1037000
Meishan,Meishan,107.045,251.9356562,-4.6,0.6,1.51,251935656.2,251936000,1039000
Meishan,Meishan,106.965,251.9326719,-5.2,0.6,1.51,251932671.9,251933000,1042000
BuchananLake,BL-464,-3.2,251.9316,-3.951855898,0.564425165,1.14,251931600,251932000,1043000
Meishan,Meishan,106.885,251.9296876,-3.9,0.6,1.51,251929687.6,251930000,1045000
Meishan,Meishan,106.8,251.9265169,-4.2,0.6,1.51,251926516.9,251927000,1048000
Meishan,Meishan,106.74,251.9242787,-2.5,0.6,1.51,251924278.7,251924000,1051000
Taskent,TCX 40,40,251.923,-4.163329783,0.548982449,1.52,251922887.7,251923000,1052000
Meishan,Meishan,106.68,251.9220404,-2,0.6,1.51,251922040.4,251922000,1053000
BuchananLake,BL-470,-2,251.922,-3.387172304,0.646966758,1.14,251922000,251922000,1053000
OpalCreek,OCX -4,-0.04,251.92,-5.57,0.309073151,0.65,251921600,251922000,1053000
OpalCreek,Chang +0,0,251.92,-4.52,0.214934079,0.65,251920181.8,251920000,1055000
Meishan,Meishan,106.62,251.9198022,-1.7,0.6,1.51,251919802.2,251920000,1055000
OpalCreek,OCC 1.5,0.015,251.92,-5.61,0.452557606,0.65,251919650,251920000,1055000
BuchananLake,BL-472,-1.6,251.9188,-3.67989001,0.184329765,1.14,251918800,251919000,1056000
Meishan,Meishan,106.56,251.917564,-0.8,0.6,1.51,251917564,251918000,1057000
Ubara,UB-18,1.038,251.9174537,-4.42,0.25,1.4,251917453.7,251917000,1058000
GujoHachiman,GH-18,6.83,251.9172,-1.54,0.04,1.32,251917200,251917000,1058000
OpalCreek,OC 24,0.09,251.92,-6.37,0.423863057,0.65,251916990.9,251917000,1058000
BuchananLake,BL-474,-1.2,251.9156,-3.719239981,0.501293142,1.14,251915600,251916000,1059000
Meishan,Meishan,106.5,251.9153258,-1.6,0.6,1.51,251915325.8,251915000,1060000
BuchananLake,BL-475,-1,251.914,-3.683654971,0.184329765,1.14,251914000,251914000,1061000
Taskent,TCX 46,46,251.913,-5.26,0.3,1.52,251913488.3,251913000,1062000
BuchananLake,BL-476,-0.8,251.9124,-3.646483311,0.184329765,1.14,251912400,251912000,1063000
GujoHachiman,GH-17,6.86,251.9124,-2.51,0.42,1.32,251912400,251912000,1063000
Waiheke,LIB 4,2.38,251.9112632,1.162127248,0.36797184,1.4,251911263.2,251911000,1064000
OpalCreek,OCC 26,0.26,251.91,-5.11,0.03400615,0.65,251910963.6,251911000,1064000
BuchananLake,BL-477,-0.6,251.9108,-4.764799887,0.184329765,1.14,251910800,251911000,1064000
Dajiang,PDJ 40 ,39.7,251.911,-6.225205535,0.3,1.52,251910560,251911000,1064000
Meishan,Meishan,106.34,251.9093573,-2.8,0.6,1.51,251909357.3,251909000,1066000
Ubara,UB-19,1.078,251.9086432,-3.16,0.26,1.4,251908643.2,251909000,1066000
Waiheke,LIB 5,2.39,251.9086316,-2.482380012,0.457761535,1.4,251908631.6,251909000,1066000
BuchananLake,BL-479,-0.2,251.9076,-1.401183774,0.187622733,1.14,251907600,251908000,1067000
BuchananLake,BL-482,-0.1,251.9068,-0.767227716,0.75165517,1.14,251906800,251907000,1068000
Taskent,TK 2.35,50.35,251.907,-2.44,0.3,1.52,251906673.6,251907000,1068000
Meishan,Meishan,106.26,251.906373,-3.1,0.6,1.51,251906373,251906000,1069000
Taskent,TK 2.75,50.75,251.906,-2.4,0.3,1.52,251906047,251906000,1069000
Waiheke,GIB 16,2.4,251.906,-2.603674586,0.08000704,1.4,251906000,251906000,1069000
BuchananLake,BL-481,0.2,251.9044,-2.235755344,0.354859192,1.14,251904400,251904000,1071000
Dajiang,PDJ 44a,42.5,251.904,-4.128787822,0.3,1.52,251903840,251904000,1071000
Dajiang,PDJ 44b,42.5,251.904,-4.13,0.3,1.52,251903840,251904000,1071000
BuchananLake,BL-495,0.5,251.902,-2.41665726,0.377055295,1.14,251902000,251902000,1073000
Waiheke,LIB 6,2.42,251.9007368,-4.102271028,0.163613991,1.4,251900736.8,251901000,1074000
Ubara,UB-20,1.118,251.8998326,-0.79,0.11,1.4,251899832.6,251900000,1075000
BuchananLake,BL-498,1.1,251.8972,-2.446233749,0.7,1.14,251897200,251897000,1078000
Dajiang,PDJ 47,45.5,251.897,-2.098083763,0.320974577,1.52,251896640,251897000,1078000
OpalCreek,OC 3,0.72,251.89,-4.36,0.213769254,0.65,251894654.5,251895000,1080000
BuchananLake,BL-500,1.5,251.894,-1.928036446,0.2,1.14,251894000,251894000,1081000
Dajiang,PDJ 49a,46.7,251.894,-2.49,0.3,1.52,251893760,251894000,1081000
Dajiang,PDJ 50,47.3,251.892,-1.357188187,0.253585168,1.52,251892320,251892000,1083000
Taskent,TK 12.3,60.3,251.891,-0.82,0.3,1.52,251891086.2,251891000,1084000
OpalCreek,OC 63,0.865,251.89,-4.14,0.412667858,0.65,251889513.6,251890000,1085000
BuchananLake,BL-503,2.1,251.8892,-2.794488658,0.5,1.14,251889200,251889000,1086000
Ubara,UB-21,1.168,251.8888194,-0.79,0.32,1.4,251888819.4,251889000,1086000
GujoHachiman,GH-15,6.93,251.88725,-1.14,0.1,1.32,251887250,251887000,1088000
OpalCreek,OC 57,0.99,251.89,-3.31,0.475646547,0.65,251885081.8,251885000,1090000
Ubara,UB-22,1.188,251.8844141,-0.86,0.42,1.4,251884414.1,251884000,1091000
OpalCreek,OC 50,1.0875,251.88,-4.05,0.328844686,0.65,251881625,251882000,1093000
OpalCreek,OC 37,1.28,251.87,-3.7,0.252892148,0.65,251874800,251875000,1100000
GujoHachiman,GH-14,6.95,251.87475,1.17,0.38,1.32,251874750,251875000,1100000
BuchananLake,BL-512,4,251.874,-2.418307144,0.2,1.14,251874000,251874000,1101000
OpalCreek,OC 64,1.385,251.87,-4.65,0.081307092,0.65,251871077.3,251871000,1104000
Taskent,TK 27.1,75.1,251.869,-0.593957215,0.343058661,1.52,251869136.1,251869000,1106000
OpalCreek,OC 66,1.45,251.87,-4.84,0.004248709,0.65,251868772.7,251869000,1106000
Meishan,Meishan,106.18,251.867,-1.2,0.6,1.51,251867000,251867000,1108000
OpalCreek,OC 140,1.555,251.87,-4.32,0.17883856,0.65,251865050,251865000,1110000
Ubara,UB-24,1.278,251.8645903,-1.71,0.20,1.4,251864590.3,251865000,1110000
OpalCreek,OC 130,1.655,251.86,-4.81,0.389279422,0.65,251861504.5,251862000,1113000
BuchananLake,BL-518,5.9,251.8588,-1.842314882,0.2,1.14,251858800,251859000,1116000
OpalCreek,OC 120,1.766,251.86,-4.9,0.390661292,0.65,251857569.1,251858000,1117000
OpalCreek,OCS -2265,1.77,251.86,-4.4,0.417996362,0.65,251857427.3,251857000,1118000
OpalCreek,OC 118,1.785,251.86,-4.98,0.394950657,0.65,251856895.5,251857000,1118000
OpalCreek,OC 112,1.845,251.85,-4.14,0.43755987,0.65,251854768.2,251855000,1120000
OpalCreek,OC 108,1.915,251.85,-4.14,0.053651303,0.65,251852286.4,251852000,1123000
Ubara,UB-25,1.338,251.8513744,-0.87,0.08,1.4,251851374.4,251851000,1124000
Taskent,TK 40.1,88.1,251.851,-1.5,0.3,1.52,251850554.8,251851000,1124000
Meishan,Meishan,106.03,251.8499633,-1.9,0.6,1.51,251849963.3,251850000,1125000
OpalCreek,OC 100,1.995,251.85,-4.51,0.458520188,0.65,251849450,251849000,1126000
Taskent,TK 45.5,93.5,251.843,-2.704311204,0.3,1.52,251842836.4,251843000,1132000
BuchananLake,BL-522,8.4,251.8388,-2.660148445,0.2,1.14,251838800,251839000,1136000
Taskent,TK 54.5,102.5,251.830,-2.170566297,0.757761861,1.52,251829972.5,251830000,1145000
Meishan,Meishan,105.83,251.8272477,-2.3,0.6,1.51,251827247.7,251827000,1148000
Dajiang,PDJ 59,55.1,251.820,-2.23,0.3,1.52,251820235.3,251820000,1155000
Taskent,TK 62,110,251.819,-1.200491838,0.429682954,1.52,251819252.5,251819000,1156000
OpalCreek,OCS -2160,2.85,251.82,-3.99,0.490279213,0.65,251819136.4,251819000,1156000
BuchananLake,BL-525,11.4,251.8148,-4.069214996,0.2,1.14,251814800,251815000,1160000
GujoHachiman,GH-13,7.05,251.81225,-1.19,0.16,1.32,251812250,251812000,1163000
BuchananLake,BL-526,12.4,251.8068,-3.123046898,0.2,1.14,251806800,251807000,1168000
Meishan,Meishan,105.63,251.8045321,-1.6,0.6,1.51,251804532.1,251805000,1170000
Taskent,TK 76.5,124.5,251.799,-2.24,0.3,1.52,251798527.3,251799000,1176000
OpalCreek,OCS -2100,3.46,251.80,-4.19,0.107706742,0.65,251797509.1,251798000,1177000
BuchananLake,BL-528,14.4,251.7908,-3.95945209,0.2,1.14,251790800,251791000,1184000
GujoHachiman,GH-12,7.1,251.781,-2.44,0.21,1.32,251781000,251781000,1194000
BuchananLake,BL-530,16.4,251.7748,-2.00162789,0.2,1.14,251774800,251775000,1200000
GujoHachiman,GH-11,7.13,251.76225,-2.14,0.24,1.32,251762250,251762000,1213000
Meishan,Meishan,105.23,251.7591009,-1.9,0.6,1.51,251759100.9,251759000,1216000
BuchananLake,BL-532,18.4,251.7588,-3.102311698,0.2,1.14,251758800,251759000,1216000
OpalCreek,OCS -1955,4.94,251.7450364,-2.89,0.147990129,0.65,251745036.4,251745000,1230000
OpalCreek,OCS -1940P,5,251.7429091,-3.38,0.158413738,0.65,251742909.1,251743000,1232000
BuchananLake,BL-048,20.65,251.7408,-2.654028573,0.2,1.14,251740800,251741000,1234000
Meishan,Meishan,105.03,251.7363853,-2.4,0.6,1.51,251736385.3,251736000,1239000
OpalCreek,OCS -1890,5.2,251.7358182,-2.84,0.484890489,0.65,251735818.2,251736000,1239000
Taskent,TK 125,173,251.729,-1.1,0.3,1.52,251729204.9,251729000,1246000
BuchananLake,BL-051,22.15,251.7288,-2.600615397,0.2,1.14,251728800,251729000,1246000
GujoHachiman,GH-10,7.19,251.72475,-3.99,0.11,1.32,251724750,251725000,1250000
Dajiang,PDJ 69,61.1,251.714,-2.779517406,0.371549758,1.52,251714352.9,251714000,1261000
BuchananLake,BL-055,24.25,251.712,-2.95872871,0.2,1.14,251712000,251712000,1263000
BuchananLake,BL-059,26.25,251.696,-2.573446397,0.2,1.14,251696000,251696000,1279000
GujoHachiman,GH-9,7.24,251.6935,-1.22,0.14,1.32,251693500,251694000,1281000
BuchananLake,BL-066,29.75,251.668,-2.342113372,0.2,1.14,251668000,251668000,1307000
GujoHachiman,GH-8,7.29,251.66225,-1.68,0.1,1.32,251662250,251662000,1313000
Meishan,Meishan,104.33,251.6568807,-2.2,0.6,1.51,251656880.7,251657000,1318000
BuchananLake,BL-071,32.25,251.648,-2.060697267,0.2,1.14,251648000,251648000,1327000
GujoHachiman,GH-7,7.33,251.63725,-1.64,0.31,1.32,251637250,251637000,1338000
OpalCreek,OCS -1595,8.15,251.6312273,-2.68,0.39,0.65,251631227.3,251631000,1344000
Dajiang,PDJ 75,66,251.628,-3.677876088,0.3,1.52,251627882.4,251628000,1347000
GujoHachiman,GH-6,7.37,251.61225,-3.07,0.33,1.32,251612250,251612000,1363000
Dajiang,PDJ 80,70.1,251.602,-2.883366793,0.3,1.52,251601884,251602000,1373000
Meishan,Meishan,103.79,251.5955486,-4.5,0.6,1.51,251595548.6,251596000,1379000
GujoHachiman,GH-5,7.41,251.58725,-1.89,0.39,1.32,251587250,251587000,1388000
Dajiang,PDJ 90,78.5,251.575,-1.8,0.3,1.52,251575329.5,251575000,1400000
GujoHachiman,GH-4,7.46,251.556,-2.42,0.18,1.32,251556000,251556000,1419000
GujoHachiman,GH-3,7.49,251.53725,-1.82,0.23,1.32,251537250,251537000,1438000
Dajiang,PDJ 112,97.9,251.514,0.01,0.3,1.52,251514001.2,251514000,1461000
GujoHachiman,GH-2,7.59,251.47475,-1.76,0.43,1.32,251474750,251475000,1500000
Meishan,Meishan,102.69,251.4706128,-3.8,0.6,1.51,251470612.8,251471000,1504000
OpalCreek,OCS -1085,13.25,251.4504091,-3.28,0.393022058,0.65,251450409.1,251450000,1525000
GujoHachiman,GH-1,7.63,251.44975,-2.3,0.03,1.32,251449750,251450000,1525000
Meishan,Meishan,101.53,251.3388624,-3.1,0.6,1.51,251338862.4,251339000,1636000
OpalCreek,OCS -760,16.5,251.3351818,-3.44,0.383436685,0.65,251335181.8,251335000,1640000
Meishan,Meishan,101.13,251.2934312,-2.6,0.6,1.51,251293431.2,251293000,1682000
Meishan,Meishan,100.73,251.248,-3,0.6,1.51,251248000,251248000,1727000
OpalCreek,OCS -325,20.85,251.1809545,-2.79,0.212472064,0.65,251180954.5,251181000,1794000
OpalCreek,OCS +345,27.55,250.9434091,-2.48,0.456147236,0.65,250943409.1,250943000,2032000
OpalCreek,OCS +940,33.5,250.7324545,-2.85,0.315059102,0.65,250732454.5,250732000,2243000
OpalCreek,OCS +1880,42.9,250.3991818,-2.25,0.172704688,0.65,250399181.8,250399000,2576000
